noise_p,energy,purity,fidelity,entropy,top_cost,top_feasible
0.0294118,-0.234858,0.00607746,0.0266718,5.34058,370,1
0.0327731,-0.192152,0.00529823,0.0197117,5.40199,370,1
0.0361345,-0.156581,0.00481832,0.0150719,5.44527,370,1
0.0394958,-0.12709,0.00451236,0.0119283,5.47573,370,1
0.0428571,-0.102749,0.0043124,0.00976141,5.49712,335,1
0.0462185,-0.0827419,0.00417948,0.00824122,5.51209,335,1
0.0495798,-0.0663663,0.00409016,0.0071559,5.52254,335,1
0.00294118,-0.974129,0.448682,0.666485,1.92181,265,1
0.00630252,-0.827811,0.187396,0.421459,3.1188,370,1
0.00966387,-0.699317,0.0835307,0.268655,3.8802,370,1
0.0130252,-0.587552,0.0406792,0.173109,4.38909,370,1
0.0163866,-0.491142,0.0221182,0.113122,4.73731,370,1
0.0197479,-0.408591,0.0135873,0.0752456,4.97878,370,1
0.0231092,-0.338374,0.00939657,0.0511521,5.14755,370,1
0.0264706,-0.279006,0.00719256,0.035682,5.26605,370,1
0.0298319,-0.229091,0.00595701,0.0256361,5.34948,370,1
0.0331933,-0.187338,0.00522524,0.0190256,5.40827,370,1
0.0365546,-0.152582,0.00477235,0.0146101,5.44969,370,1
0.039916,-0.123784,0.00448258,0.0116122,5.47883,370,1
0.0432773,-0.100026,0.00429271,0.00954128,5.49929,335,1
0.0466387,-0.0805097,0.00416629,0.00808517,5.51362,335,1
0.05,-0.0645436,0.00408127,0.00704336,5.5236,335,1
