state,count
|00000000>,5
|00000001>,49
|00000010>,55
|00000011>,52
|00000100>,58
|00000101>,60
|00000110>,29
|00000111>,128
|00001000>,49
|00001001>,60
|00001010>,53
|00001011>,14
|00001100>,61
|00001101>,18
|00001110>,128
|00001111>,336
|00010000>,52
|00010001>,27
|00010010>,7
|00010011>,100
|00010100>,40
|00010101>,206
|00010110>,282
|00010111>,1061
|00011000>,27
|00011001>,18
|00011010>,99
|00011011>,153
|00011100>,205
|00011101>,673
|00011110>,1065
|00011111>,491
|00100000>,58
|00100001>,61
|00100010>,30
|00100011>,128
|00100100>,75
|00100101>,57
|00100110>,90
|00100111>,972
|00101000>,61
|00101001>,17
|00101010>,127
|00101011>,338
|00101100>,57
|00101101>,628
|00101110>,976
|00101111>,874
|00110000>,40
|00110001>,205
|00110010>,281
|00110011>,1066
|00110100>,22
|00110101>,824
|00110110>,532
|00110111>,1052
|00111000>,204
|00111001>,675
|00111010>,1068
|00111011>,496
|00111100>,825
|00111101>,1190
|00111110>,1060
|00111111>,338
|01000000>,32
|01000001>,5
|01000010>,19
|01000011>,110
|01000100>,54
|01000101>,386
|01000110>,716
|01000111>,837
|01001000>,5
|01001001>,20
|01001010>,109
|01001011>,76
|01001100>,385
|01001101>,410
|01001110>,840
|01001111>,103
|01010000>,69
|01010001>,287
|01010010>,575
|01010011>,408
|01010100>,633
|01010101>,1159
|01010110>,1096
|01010111>,366
|01011000>,286
|01011001>,187
|01011010>,409
|01011011>,19
|01011100>,1162
|01011101>,276
|01011110>,370
|01011111>,6
|01100000>,54
|01100001>,386
|01100010>,716
|01100011>,842
|01100100>,298
|01100101>,1101
|01100110>,996
|01100111>,689
|01101000>,384
|01101001>,411
|01101010>,844
|01101011>,105
|01101100>,1104
|01101101>,560
|01101110>,695
|01101111>,16
|01110000>,631
|01110001>,1163
|01110010>,1100
|01110011>,370
|01110100>,556
|01110101>,614
|01110110>,286
|01110111>,49
|01111000>,1164
|01111001>,279
|01111010>,373
|01111011>,6
|01111100>,618
|01111101>,64
|01111110>,50
|01111111>,31
|10000000>,29
|10000001>,21
|10000010>,77
|10000011>,250
|10000100>,49
|10000101>,528
|10000110>,624
|10000111>,1064
|10001000>,21
|10001001>,68
|10001010>,249
|10001011>,138
|10001100>,527
|10001101>,692
|10001110>,1069
|10001111>,237
|10010000>,138
|10010001>,591
|10010010>,743
|10010011>,690
|10010100>,475
|10010101>,1356
|10010110>,914
|10010111>,503
|10011000>,589
|10011001>,407
|10011010>,692
|10011011>,64
|10011100>,1360
|10011101>,574
|10011110>,509
|10011111>,19
|10100000>,49
|10100001>,528
|10100010>,624
|10100011>,1071
|10100100>,131
|10100101>,918
|10100110>,586
|10100111>,599
|10101000>,526
|10101001>,695
|10101010>,1074
|10101011>,240
|10101100>,921
|10101101>,725
|10101110>,605
|10101111>,70
|10110000>,474
|10110001>,1360
|10110010>,918
|10110011>,509
|10110100>,289
|10110101>,460
|10110110>,124
|10110111>,45
|10111000>,1362
|10111001>,579
|10111010>,513
|10111011>,19
|10111100>,464
|10111101>,131
|10111110>,46
|10111111>,29
|11000000>,357
|11000001>,507
|11000010>,895
|11000011>,332
|11000100>,1079
|11000101>,1055
|11000110>,961
|11000111>,116
|11001000>,505
|11001001>,152
|11001010>,333
|11001011>,15
|11001100>,1059
|11001101>,93
|11001110>,118
|11001111>,55
|11010000>,1205
|11010001>,667
|11010010>,618
|11010011>,15
|11010100>,814
|11010101>,193
|11010110>,51
|11010111>,63
|11011000>,668
|11011001>,16
|11011010>,15
|11011011>,62
|11011100>,196
|11011101>,28
|11011110>,63
|11011111>,47
|11100000>,1078
|11100001>,1060
|11100010>,966
|11100011>,118
|11100100>,527
|11100101>,267
|11100110>,83
|11100111>,31
|11101000>,1062
|11101001>,95
|11101010>,120
|11101011>,55
|11101100>,270
|11101101>,8
|11101110>,31
|11101111>,54
|11110000>,817
|11110001>,195
|11110010>,52
|11110011>,63
|11110100>,19
|11110101>,41
|11110110>,77
|11110111>,56
|11111000>,197
|11111001>,28
|11111010>,63
|11111011>,48
|11111100>,41
|11111101>,51
|11111110>,57
|11111111>,5
